"source";"target";"year_of_publication";"Erscheinungsort"
"02-0800";"02-0789";1551;"Königsberg"
"02-0800";"02-0789";1552;"Königsberg"
"02-0872";"02-0789";1558;"Königsberg"
"02-0872";"02-0789";1557;"Königsberg"
"02-0800";"02-0789";1552;"Königsberg"
"02-0800";"02-0789";1552;"Königsberg"
"02-0720";"02-0800";1552;"Königsberg"
"02-0928";"02-0800";1552;"Königsberg"
"02-0865";"02-0800";1552;"Königsberg"
"02-0789";"02-0800";1552;"Königsberg"
"02-0685";"02-0800";1567;"Königsberg"
"02-0789";"02-0800";1567;"Königsberg"
"02-0800";"02-0814";1552;"Königsberg"
"02-0879";"02-0825";1575;"Königsberg"
"02-0800";"02-0827";1552;"Königsberg"
"02-0741";"02-0845";1574;"Königsberg"
"02-0789";"02-0872";1556;"Königsberg"
"02-0800";"02-0873";1552;"Königsberg"
"02-0800";"02-0886";1549;"Königsberg"
"02-0800";"02-0924";1552;"Königsberg"
"02-0879";"02-1005";1578;"Königsberg"
"02-0839";"02-1007";1552;"Königsberg"
"02-0839";"02-1009";1552;"Königsberg"
"02-0847";"02-0678";1562;"Krakau"
"02-0847";"02-0681";1562;"Krakau"
"02-0847";"02-0867";1562;"Krakau"
"02-0780";"02-0838";1575;"Laugingen"
"02-0759";"02-0741";1563;"Lausanne"
"02-0775";"02-0654";1553;"Leipzig"
"02-0841";"02-0665";1580;"Leipzig"
"02-0841";"02-0666";1579;"Leipzig"
"02-0782";"02-0691";1570;"Leipzig"
"02-0841";"02-0691";1570;"Leipzig"
"02-0841";"02-0699";1579;"Leipzig"
"02-0841";"02-0699";1579;"Leipzig"
"02-0782";"02-0716";1551;"Leipzig"
"02-0782";"02-0716";1551;"Leipzig"
"02-0782";"02-0716";1551;"Leipzig"
"02-0782";"02-0716";1562;"Leipzig"
"02-0782";"02-0721";1562;"Leipzig"
"02-0886";"02-0738";1548;"Leipzig"
"02-0653";"02-0800";1554;"Leipzig"
"02-0782";"02-0847";1553;"Leipzig"
"02-0782";"02-0847";1562;"Leipzig"
"02-0782";"02-0848";1562;"Leipzig"
"02-0749";"02-0655";1580;"Lemgo"
"02-0879";"02-0775";1568;"Lübeck"
"02-0812";"02-0800";1552;"Lübeck"
"02-0659";"02-0800";1552;"Lübeck"
"02-0741";"02-0061";1562;"Magdeburg"
"02-0716";"02-0311";1553;"Magdeburg"
"02-0741";"02-0376";1564;"Magdeburg"
"02-0755";"02-0415";1559;"Magdeburg"
"02-0879";"02-0415";1559;"Magdeburg"
"02-0879";"02-0644";1558;"Magdeburg"
"02-0782";"02-0647";1549;"Magdeburg"
"02-0650";"02-0647";1548;"Magdeburg"
"02-0637";"02-0647";1549;"Magdeburg"
"02-0686";"02-0647";1551;"Magdeburg"
"02-0716";"02-0647";1549;"Magdeburg"
"02-0716";"02-0647";1549;"Magdeburg"
"02-1029";"02-0647";1549;"Magdeburg"
"02-0716";"02-0647";1551;"Magdeburg"
"02-0656";"02-0647";1548;"Magdeburg"
"02-0716";"02-0647";1549;"Magdeburg"
"02-0716";"02-0647";1549;"Magdeburg"
"02-0675";"02-0647";1551;"Magdeburg"
"02-0741";"02-0654";1564;"Magdeburg"
"02-0741";"02-0666";1562;"Magdeburg"
"02-0741";"02-0666";1562;"Magdeburg"
"02-0654";"02-0676";1551;"Magdeburg"
"02-0716";"02-0676";1552;"Magdeburg"
"02-0654";"02-0676";1549;"Magdeburg"
"02-0654";"02-0676";1549;"Magdeburg"
"02-0654";"02-0676";1551;"Magdeburg"
"02-0716";"02-0676";1551;"Magdeburg"
"02-0716";"02-0676";1551;"Magdeburg"
"02-0876";"02-0678";1552;"Magdeburg"
"02-0876";"02-0681";1552;"Magdeburg"
"02-0876";"02-0681";1557;"Magdeburg"
"02-0741";"02-0681";1562;"Magdeburg"
"02-0741";"02-0681";1562;"Magdeburg"
"02-1029";"02-0713";1550;"Magdeburg"
"02-0716";"02-0713";1550;"Magdeburg"
"02-0716";"02-0720";1555;"Magdeburg"
"02-0716";"02-0720";1554;"Magdeburg"
