"m.id","n.id"
"02-0741","01-1085"
"02-0782","01-1085"
"02-0646","01-1086"
"02-0876","01-1087"
"02-0483","01-1088"
"02-0646","01-1089"
"02-0869","01-1090"
"02-0683","01-1091"
"02-0857","01-1092"
"02-0850","01-1093"
"02-0879","01-1094"
"02-0034","01-1095"
"02-0743","01-1096"
"02-0793","01-1097"
"02-0739","01-1098"
"02-0681","01-1099"
"02-0835","01-1100"
"02-0782","01-1101"
"02-0782","01-1102"
"02-0835","01-1103"
"02-1029","01-1104"
"02-0816","01-1105"
"02-0678","01-1106"
"02-0681","01-1107"
"02-0716","01-1108"
"02-0751","01-1108"
"02-0646","01-1109"
"02-0848","01-1110"
"02-0793","01-1111"
"02-0879","01-1112"
"02-0782","01-1113"
"02-1029","01-1114"
"02-0848","01-1115"
"02-0848","01-1116"
"02-0517","01-1117"
"02-0703","01-1119"
"02-0716","01-1120"
"02-0850","01-1122"
"02-0876","01-1123"
"02-0655","01-1124"
"02-0810","01-1125"
"02-0782","01-1126"
"02-0700","01-1127"
"02-0700","01-1128"
"02-0876","01-1129"
"02-0678","01-1130"
"02-0716","01-1131"
"02-0716","01-1132"
"02-0782","01-1133"
"02-0876","01-1137"
"02-0716","01-1139"
"02-0722","01-1140"
"02-0794","01-1141"
"02-0716","01-1142"
"02-0655","01-1143"
"02-0782","01-1144"
"02-0782","01-1145"
"02-0741","01-1146"
"02-0741","01-1147"
"02-0782","01-1148"
"02-0882","01-1150"
"02-0735","01-1151"
"02-0882","01-1152"
"02-0775","01-1153"
"02-0741","01-1154"
"02-0786","01-1155"
"02-0879","01-1157"
"02-0782","01-1158"
"02-0820","01-1159"
"02-0782","01-1160"
"02-0782","01-1161"
"02-0782","01-1162"
"02-0775","01-1163"
"02-0879","01-1164"
"02-0722","01-1165"
"02-0785","01-1166"
"02-0716","01-1167"
"02-0655","01-1168"
"02-0820","01-1169"
"02-0782","01-1170"
"02-0673","01-1171"
"02-0759","01-1174"
"02-0673","01-1175"
"02-0685","01-1176"
"02-0867","01-1177"
"02-0841","01-1178"
"02-0705","01-1179"
"02-0756","01-1180"
"02-0655","01-1181"
"02-0775","01-1182"
